path,dataset,ref_raw,pred_raw,wer_raw,ref_normalized,hyp_normalized,wer,cer,sequence_similarity,ref_word_count,hyp_word_count
407724.wav,uzbek_voice,Denis Istomin Nottingemdagi tennis turnirida Monakoni mag'lub etdi.,Denis Istomin notingemdagi tennis turnirida monakoni mag'lub etdi.,0.25,denis istomin nottingemdagi tennis turnirida monakoni mag'lub etdi,denis istomin notingemdagi tennis turnirida monakoni mag'lub etdi,0.125,0.0152,0.9924,8,8
246159.wav,uzbek_voice,Biz yordam berishga hamisha tayyormiz.,Biz yordam berishga hamisha tayyormiz.,0.0,biz yordam berishga hamisha tayyormiz,biz yordam berishga hamisha tayyormiz,0.0,0.0,1.0,5,5
197402.wav,uzbek_voice,Ayol uchun do'stlik katta ahamiyatga ega emas.,Ayol uchun do'stlik katta ahamiyatga ega emas.,0.0,ayol uchun do'stlik katta ahamiyatga ega emas,ayol uchun do'stlik katta ahamiyatga ega emas,0.0,0.0,1.0,7,7
324918.wav,uzbek_voice,Savol: Musobaqada ishtirok etadigan jamoalar ma'lummi?,"Savol, musobaqada ishtirok etadigan jamoalar ma'lummi?",0.3333,savol musobaqada ishtirok etadigan jamoalar ma'lummi,savol musobaqada ishtirok etadigan jamoalar ma'lummi,0.0,0.0,1.0,6,6
841434.wav,uzbek_voice,Birlashgan Millatlar Tashkilotini ham darhol xalqaro qurolli kuchlar bilan ta'minlashni boshlash kerak.,Birlashgan Millatlar Tashkilotini hamdar hol xalqaro qurolli kuchlar bilan ta'minlashni boshlash kerak.,0.1667,birlashgan millatlar tashkilotini ham darhol xalqaro qurolli kuchlar bilan ta'minlashni boshlash kerak,birlashgan millatlar tashkilotini hamdar hol xalqaro qurolli kuchlar bilan ta'minlashni boshlash kerak,0.1667,0.0196,0.9902,12,12
00017346_2.wav,news,"qog'ozini ham sotib olsa ko'chadan, hech kim e'tibor qilmasa, bu yoqdan unga qog'oz beradigan tashkilotlar qog'ozni spisat qilib, bu yoqdan pulni yeb yotgan bo'lsa, lekin unga berilayotgan o'zini nimasi bor.","U qog'ozini ham sotib olsak ko'chadan, hech kim e'tibor qilmasa, bu yoqdan unga qog'oz beradigan tashkilotlar qog'ozni spisad qilib, bu yoqdan pulni yebayotgan bo'lsa, lekin unga berilayotgan o'zini nimasi bor?",0.2,qog'ozini ham sotib olsa ko'chadan hech kim e'tibor qilmasa bu yoqdan unga qog'oz beradigan tashkilotlar qog'ozni spisat qilib bu yoqdan pulni yeb yotgan bo'lsa lekin unga berilayotgan o'zini nimasi bor,u qog'ozini ham sotib olsak ko'chadan hech kim e'tibor qilmasa bu yoqdan unga qog'oz beradigan tashkilotlar qog'ozni spisad qilib bu yoqdan pulni yebayotgan bo'lsa lekin unga berilayotgan o'zini nimasi bor,0.1667,0.0248,0.5946,30,30
124976.wav,uzbek_voice,Ustozlari uni buyuk kelajak kutayotganiga amin edi.,Ustozlari uni buyuk kelajak kutayotganiga amin edi.,0.0,ustozlari uni buyuk kelajak kutayotganiga amin edi,ustozlari uni buyuk kelajak kutayotganiga amin edi,0.0,0.0,1.0,7,7
727107.wav,uzbek_voice,Bu hol eksport raqobatbardoshligini va rivojlanish imkoniyatlarini sezilarli darajada kamaytiradi.,Bu hol eksport raqobatbardoshligini va rivojlanish imkoniyatlarini sezilarli darajada kamaytiradi.,0.0,bu hol eksport raqobatbardoshligini va rivojlanish imkoniyatlarini sezilarli darajada kamaytiradi,bu hol eksport raqobatbardoshligini va rivojlanish imkoniyatlarini sezilarli darajada kamaytiradi,0.0,0.0,1.0,10,10
102992.wav,uzbek_voice,Lekin Nargizaning professional mahorati yuqori darajada.,Lekin Nargizaning professional mahorati yuqori darajada.,0.0,lekin nargizaning professional mahorati yuqori darajada,lekin nargizaning professional mahorati yuqori darajada,0.0,0.0,1.0,6,6
common_voice_uz_31876215.wav,common_voice,Qayerdadir uchrashgan kishilar qachondir yana ko'rishib qoladilar.,Qayerdadir uchrashgan kishilar qachondir yana ko'rishib qoladilar.,0.0,qayerdadir uchrashgan kishilar qachondir yana ko'rishib qoladilar,qayerdadir uchrashgan kishilar qachondir yana ko'rishib qoladilar,0.0,0.0,1.0,7,7
common_voice_uz_29539222.wav,common_voice,qilinadigan orzular namoyon bo'ladi.,Qilinadigan orzular namoyon bo'ladi.,0.25,qilinadigan orzular namoyon bo'ladi,qilinadigan orzular namoyon bo'ladi,0.0,0.0,1.0,4,4
484533.wav,uzbek_voice,Bu haqda Sog'liqni saqlash vazirligi axborot xizmati xabar bermoqda.,Bu haqda Sog'liqni saqlash vazirligi axborot xizmati xabar bermoqda.,0.0,bu haqda sog'liqni saqlash vazirligi axborot xizmati xabar bermoqda,bu haqda sog'liqni saqlash vazirligi axborot xizmati xabar bermoqda,0.0,0.0,1.0,9,9
447010.wav,uzbek_voice,Ichimlikka asal qo'shing va kun davomida oz-ozdan ichiring.,Ichimlikka asal qo'shing va kun davomida o'z-o'zidan ichiring.,0.125,ichimlikka asal qo'shing va kun davomida oz-ozdan ichiring,ichimlikka asal qo'shing va kun davomida o'z-o'zidan ichiring,0.125,0.0517,0.9748,8,8
293424.wav,uzbek_voice,"Guvoh bo'lganingizdek, tomonlarning fikri turlicha yangramoqda.","Guvoh bo'lganingizdek, tomonlarning fikri turlicha yangramoqda.",0.0,guvoh bo'lganingizdek tomonlarning fikri turlicha yangramoqda,guvoh bo'lganingizdek tomonlarning fikri turlicha yangramoqda,0.0,0.0,1.0,6,6
common_voice_uz_28903345.wav,common_voice,Unda barcha kichik-kichik taqrizlarim bosilgan.,Unda barcha kichik-kichik taqvizlarim bosilgan.,0.2,unda barcha kichik-kichik taqrizlarim bosilgan,unda barcha kichik-kichik taqvizlarim bosilgan,0.2,0.0217,0.9783,5,5
344356.wav,uzbek_voice,"Bilasizmi, hozir mazza qilyapman, to'yib-to'yib nafas olmoqdaman.","Bilasizmi, hozir mazza qilyapman. To'yib-to'yib nafas olmoqdaman.",0.2857,bilasizmi hozir mazza qilyapman to'yib-to'yib nafas olmoqdaman,bilasizmi hozir mazza qilyapman to'yib-to'yib nafas olmoqdaman,0.0,0.0,1.0,7,7
125337.wav,uzbek_voice,Bu o'tgan yilgi ko'rsatkich bilan teng bo'ldi.,Bu o'tgan yilgi ko'rsatkich bilan teng bo'ldi.,0.0,bu o'tgan yilgi ko'rsatkich bilan teng bo'ldi,bu o'tgan yilgi ko'rsatkich bilan teng bo'ldi,0.0,0.0,1.0,7,7
188320.wav,uzbek_voice,"Uyimiz buzilishga tushadi deyishgani bois, ikkilanib qoldik.",Uyimiz buzilishiga tushadi deyishgani bois ikkilanib qoldik.,0.2857,uyimiz buzilishga tushadi deyishgani bois ikkilanib qoldik,uyimiz buzilishiga tushadi deyishgani bois ikkilanib qoldik,0.1429,0.0172,0.9915,7,7
common_voice_uz_29539359.wav,common_voice,chiqib keta olmaganim alam qildi,chiqib keta olmaganim alam qildi.,0.2,chiqib keta olmaganim alam qildi,chiqib keta olmaganim alam qildi,0.0,0.0,1.0,5,5
common_voice_uz_27224735.wav,common_voice,Administratsiyadagi siyosiy texnologlar hozir shuni ustida ishlashyapti.,Administratsiyadagi siyosiy texnologlar hozir shuni ustida ishlashyapti.,0.0,administratsiyadagi siyosiy texnologlar hozir shuni ustida ishlashyapti,administratsiyadagi siyosiy texnologlar hozir shuni ustida ishlashyapti,0.0,0.0,1.0,7,7
368373.wav,uzbek_voice,"Shuningdek, baland poshnali oyoq kiyim kombinatsiyani yanada to'ldiradi.","Shuningdek, baland poshnali oyoq-kiyim kombinatsiyani yanada to'ldiradi.",0.25,shuningdek baland poshnali oyoq kiyim kombinatsiyani yanada to'ldiradi,shuningdek baland poshnali oyoq-kiyim kombinatsiyani yanada to'ldiradi,0.25,0.0143,0.9857,8,7
103829.wav,uzbek_voice,G guruhi favoritlari autsayderlarga qarshi o'ynadi.,G guruhi favoritlari autsayderlarga qarshi o'ynadi.,0.0,g guruhi favoritlari autsayderlarga qarshi o'ynadi,g guruhi favoritlari autsayderlarga qarshi o'ynadi,0.0,0.0,1.0,6,6
188938.wav,uzbek_voice,Peruning And tog'larida alpinistlar guruhi halok bo'ldi.,Peruning and tog'larida alpinistlar guruhi halok bo'ldi.,0.1429,peruning and tog'larida alpinistlar guruhi halok bo'ldi,peruning and tog'larida alpinistlar guruhi halok bo'ldi,0.0,0.0,1.0,7,7
177383.wav,uzbek_voice,"Gap bolalarimiz kelajagi, ertangi taqdiri haqida ketmoqda.",Gap bolalarimiz kelajagi ertangi taqdiri haqida ketmoqda.,0.1429,gap bolalarimiz kelajagi ertangi taqdiri haqida ketmoqda,gap bolalarimiz kelajagi ertangi taqdiri haqida ketmoqda,0.0,0.0,1.0,7,7
197328.wav,uzbek_voice,Asal oyiga bron qilingan mehmonxonani bekor qilmoqchiman.,Asal oyiga biron qilingan mehmonxonani bekor qilmoqchiman.,0.1429,asal oyiga bron qilingan mehmonxonani bekor qilmoqchiman,asal oyiga biron qilingan mehmonxonani bekor qilmoqchiman,0.1429,0.0179,0.9912,7,7
343590.wav,uzbek_voice,"Restoranlar, mehmonxonalar, sport zallari va suv havzalari yopilgan.","Restoranlar, mehmonxonalar, sport zallari va suv havzalari yopilgan.",0.0,restoranlar mehmonxonalar sport zallari va suv havzalari yopilgan,restoranlar mehmonxonalar sport zallari va suv havzalari yopilgan,0.0,0.0,1.0,8,8
631702.wav,uzbek_voice,O'zbekistonda avtomobil yo'llari xorij tajribasi asosida quriladi.,O'zbekistonda avtomobil yo'llari xorij tajribasi asosida quriladi.,0.0,o'zbekistonda avtomobil yo'llari xorij tajribasi asosida quriladi,o'zbekistonda avtomobil yo'llari xorij tajribasi asosida quriladi,0.0,0.0,1.0,7,7
